"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-04-30",,"65",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-01",,"71",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-02",,"72",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-03",,"72",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-04",,"71",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-05",,"72",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-06",,"72",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-07",,"71",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-08",,"71",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-09",,"77",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-10",,"71",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-11",,"70",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-12",,"67",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-13",,"71",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-14",,"72",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-15",,"70",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-16",,"71",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-17",,"69",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-18",,"67",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-19",,"67",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-20",,"67",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-21",,"66",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-22",,"62",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-23",,"63",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-24",,"63",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-25",,"66",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-26",,"66",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-27",,"66",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-28",,"67",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-29",,"61",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-30",,"64",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-05-31",,"63",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-01",,"63","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-02",,"63","74","55"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-03",,"64","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-04",,"60","75","53"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-05",,"62","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-06",,"63","76","51"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-07",,"64","84",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-08",,"68","88",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-09","0.08","62","88","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-10",,"62",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-11","0.01","63","71",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-12","0.00","65","78",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-13",,"64","78","54"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-14",,"64","75","52"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-15","0.01","58","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-16","0.02","55","67",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-17","0.01","57","67",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-18","0.06","58","70","49"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-19","0.00","56","72",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-20",,"60","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-21",,"57","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-22",,"61","73",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-23",,"63","72",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-24",,"60","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-25",,"60","83",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-26",,"63","83",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-27",,"61","79","59"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-28","0.10","65","73","58"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-29","0.00","67","83",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-06-30",,"64","83","49"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-01","0.02","62","73",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-02","0.00","62",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-03",,"60","73",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-04",,"59","72",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-05",,"65","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-06",,"68","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-07",,"63","67",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-08",,"63","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-09",,"64","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-10",,"63","80",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-11",,"64","80","50"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-12","0.17","59","71","54"
